name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,liked
Avant la douane,Jul,0.844,0.651,0,-9.162,0,0.23,0.673,7.08e-05,0.174,0.795,138.038,186593,4,1
Hell Shell,Young Nudy,0.853,0.514,0,-5.445,0,0.246,0.000909,0.0222,0.185,0.679,129.963,162527,4,1
EA (feat. 21 Savage),Young Nudy,0.451,0.876,10,-5.205,0,0.414,0.261,0.0,0.098,0.227,87.306,227176,5,1
Blue Cheese Salad,Young Nudy,0.79,0.745,1,-6.442,0,0.291,0.01,0.000923,0.422,0.728,145.025,214387,4,1
Western Union,Ecco2k,0.705,0.659,9,-7.808,1,0.1,0.727,0.0727,0.148,0.584,147.963,120000,4,1
Dumpster Baby,Bladee,0.627,0.493,6,-10.804,1,0.0379,0.852,0.000156,0.132,0.222,129.888,160107,3,1
Waster,Bladee,0.58,0.659,4,-9.858,0,0.0369,0.0657,1.62e-06,0.164,0.276,141.906,121690,4,1
Drama,Bladee,0.725,0.659,8,-5.45,1,0.146,0.0908,0.0,0.124,0.637,74.95,120754,4,1
Victim,Bladee,0.632,0.344,6,-13.398,1,0.0958,0.9,0.919,0.106,0.229,169.113,153373,4,1
Alive,Thaiboy Digital,0.702,0.667,2,-4.569,1,0.044,0.23,1.19e-06,0.142,0.776,150.044,169608,4,1
Yin & Yang,Thaiboy Digital,0.631,0.752,9,-5.045,0,0.0279,0.177,4.99e-06,0.472,0.605,133.954,133133,4,1
ONGBAK 2,1PLIKÉ140,0.87,0.415,10,-10.225,0,0.307,0.105,1.36e-05,0.349,0.439,132.043,151029,4,1
PERSO,1PLIKÉ140,0.846,0.744,7,-5.977,0,0.265,0.303,1.21e-05,0.11,0.626,129.952,202267,4,1
Cochi,1PLIKÉ140,0.736,0.87,11,-4.518,0,0.32,0.287,0.0,0.298,0.725,140.149,179269,4,1
1PLIKÉ140 x Fumez The Engineer - Plugged In Freestyle,Fumez The Engineer,0.777,0.413,8,-16.014,1,0.39,0.239,5.31e-06,0.114,0.483,145.118,177103,4,1
WYWD,Dani Kiyoko,0.231,0.705,7,-9.213,1,0.0482,0.000102,0.0,0.401,0.112,140.041,228928,4,1
5 Ways,Homixide Gang,0.665,0.74,4,-7.023,0,0.104,0.493,0.0,0.164,0.527,137.977,166957,4,1
Rockstar Made,Playboi Carti,0.773,0.612,8,-5.73,1,0.232,0.0398,0.0,0.142,0.381,149.999,193575,4,1
King Vamp,Playboi Carti,0.691,0.756,8,-5.638,0,0.352,0.0117,0.0,0.257,0.396,144.188,186776,4,1
Control,Playboi Carti,0.705,0.752,7,-6.87,1,0.095,0.0283,0.0,0.299,0.305,142.051,197790,4,1
Have My Baby,Chief Keef,0.465,0.526,6,-4.372,0,0.102,0.315,0.0,0.264,0.588,133.828,130847,4,1
Black Proud,Chief Keef,0.724,0.711,5,-5.729,0,0.19,0.206,1.69e-05,0.101,0.588,140.052,322286,4,1
Part Ways,Chief Keef,0.708,0.448,1,-7.879,1,0.0582,0.0167,0.0,0.104,0.113,139.936,193714,4,1
Driver,Chief Keef,0.687,0.837,4,-4.879,0,0.392,0.621,0.0,0.256,0.575,140.089,212571,4,1
Dipset,Chief Keef,0.672,0.568,1,-8.395,1,0.316,0.00192,2.57e-06,0.404,0.219,140.247,159760,4,1
Tats,Chief Keef,0.689,0.494,5,-12.116,1,0.154,0.481,0.0,0.109,0.262,115.147,242076,4,1
Negro,Chief Keef,0.812,0.586,0,-9.212,1,0.0365,0.0598,0.0,0.101,0.512,128.432,115798,4,1
Grab a Star,Chief Keef,0.748,0.428,1,-8.097,1,0.186,0.175,0.0,0.175,0.387,120.03,244000,4,1
Ice Cream,Waka Flocka Flame,0.81,0.541,2,-6.096,1,0.107,0.0138,0.0,0.107,0.352,141.975,188472,4,1
Obituary (feat. Wooh Da Kid),Waka Flocka Flame,0.668,0.731,8,-4.188,1,0.0413,0.00012,0.0,0.145,0.194,142.056,214627,4,1
